Job Title,Company Name,Location,Education Requirements,Experience Requirements
Business Development Executive (Corporate Sales),Impel Service & Solutions Limited,"Manikganj, Adabor, Dhanmondi, Mirpur, Savar, Shah Ali, Tejgaon, Uttara, Ashulia, New Market TSO, Kallyanpur, Elephant Road, Farmgate, Mirpur 10, Shaymoli",স্নাতকোত্তর/স্নাতক।,Na
Business Development Executive Engineer & Customer Care.,Alif Boiler,Mirpur12,Bachelor`s degree from a recognized university. /Diploma in Medical Faculty/Medical assistant (04...,3 to 4 year(s)
Business Development Manager (BDM),Texbazar Limited,Nikunja,"Bachelor of Business Administration (BBA) in Marketing
Diploma in Business Studies",8 to 9 year(s)
Assistant Manager - Business Development,Mazada Consortium Ltd.,Dhaka,B.Sc/M.Sc in Civil Engineering.,5 to 7 year(s)
Warehouse Executive,PriyoShop.com Ltd.,Kaliakair,Master of Business Administration (MBA),At least 1 year(s)
Websocket specialist (Django),DebIT,Dhaka,Masters of Pharmacy (M.Pharm),At least 5 year(s)
Assistant Shop Incharge,Lazz Pharma,DOHS Mirpur,"Master`s degree in Development Studies, Environmental Science, Climate Change and Development, or...",Na
Sales Man (Pharmacy & Departmental)),Lazz Pharma Ltd,DOHS Mirpur,"Bachelor of Science (BSc) in Pharmacy
Bachelor of Science (BSc) in Chemistry
Bachelor of Science...",Na
Pharmacist,Lazz Pharma Ltd,DOHS Mirpur,"Bachelor of Medicine and Bachelor of Surgery(MBBS)
MBBS from public medical college",Na
Shop Manager (In-charge),Lazz Pharma Ltd,DOHS Mirpur,Should have an MBA in Marketing from IBA-DU/ BRAC University/ NSU.,3 to 5 year(s)
Intern Software Engineer,Exact Limited,Kakrail,MBA/Masters from any discipline.,Na
Branch Manager (Fresher),Social and Economic Enhancement Programme (SEEP),"Dhaka, Manikganj, Munshiganj, Narayanganj, Narsingdi","HSC
Bachelor of Commerce (BCom)",Na
Branch Manager,Social and Economic Enhancement Programme (SEEP),"Dhaka, Manikganj, Munshiganj, Narayanganj, Narsingdi","Bachelor of Science (BSc) in Textile Technology
Master of Science (MSc) in Textile Technology
Master...",At least 2 year(s)
Field Level Staff,HEED Bangladesh,"Habiganj, Moulvibazar, Sunamganj, Sylhet","Bachelor of Science (BSc) in Agriculture
Bachelor of Science (B.Sc.) in Agriculture with well...",At least 1 year(s)
Executive-Sales,GBX Logistics Ltd.,"Dhaka, Gulshan","Bachelor of Business Administration (BBA) in Accounting & Information System
Graduation or...",1 to 2 year(s)
"Manager, Customer Experience (Night Shift)",Apex Data Management & IT Ltd,Banani,Minimum Graduate in any discipline/ MBA in HRM/ LLB/ PGDHRM.,12 to 14 year(s)
Marketing Manager,China Construction Seventh Engineering Division Corporation Ltd.,Anywhere in Bangladesh,Bachelor Degree from a recognized University / Institutions of Bangladesh in relevant field.,At least 8 year(s)
Sales & Marketing Executive,Sundaram,Tejgaon Industrial Area,Masters in any discipline from any recognised university/ institution.,At least 1 year(s)
Manager/ AGM - Sales,Meghna Car Manufacturing Ltd.,Chattogram Sadar,Master’s / Bachelor’s with business/science background from reputed University.,At least 8 year(s)
Product Manager,National Drug Co. Limited,Dhaka,Bachelor`s degree in Business Administration or a related field.,At least 2 year(s)
Sales and Marketing Manager (Chinese Speaking Only),Blue Carbon Technology Inc.,Uttara,এসএসসি/সমমানের পরীক্ষায় উত্তীর্ণ।অবসরপ্রাপ্ত সেনাসদস্যদের শিক্ষাগত যোগ্যতা শিথিলযোগ্য।,Na
Area Manager,Top Sense Limited,Mirpur,"O Level
A Level
HSC",At least 1 year(s)
Coordinator-Capacity Building,Christian Commission for Development in Bangladesh (CCDB),Dhaka,"Bachelors Degree in Business Administration, Marketing or any relevant field.Masters Degree is...",At least 5 year(s)
"Sr. Executive/Executive, API & Raw Material (PMD/Sourcing))",MBioLogix,Uttara,"Minimum bachelor’s degree in marketing, business administration, or a related field (MBA preferred).",2 to 6 year(s)
"Executive, Medical Services Department",SQUARE Pharmaceuticals PLC.,Anywhere in Bangladesh,"Bachelor of Business Administration (BBA)
Bachelor of Business Studies (BBS)",1 to 2 year(s)
